"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6553","Prompt alert test","firefox","Fri Mar 07 17:13:35 GMT 2025","passed","Fri Mar 07 17:13:41 GMT 2025","Alert page tests","alert.spec.ts","",""
"","2433","Table page has correct title","webkit","Fri Mar 07 17:15:05 GMT 2025","passed","Fri Mar 07 17:15:08 GMT 2025","Table page tests","table.spec.ts","",""
"","2202","Check calendar functionality with random date","chromium","Fri Mar 07 17:13:00 GMT 2025","passed","Fri Mar 07 17:13:02 GMT 2025","Calendar page tests","calender.spec.ts","",""
"","3779","Frame test 2","chromium","Fri Mar 07 17:13:14 GMT 2025","passed","Fri Mar 07 17:13:18 GMT 2025","Frame page tests","frame.spec.ts","",""
"","4488","Simple alert test","chromium","Fri Mar 07 17:12:47 GMT 2025","passed","Fri Mar 07 17:12:51 GMT 2025","Alert page tests","alert.spec.ts","",""
"","3970","Checking if terms and conditions radio button can be selected","webkit","Fri Mar 07 17:15:04 GMT 2025","passed","Fri Mar 07 17:15:08 GMT 2025","Radio page tests","radio.spec.ts","",""
"","2548","Button page has correct title","webkit","Fri Mar 07 17:14:22 GMT 2025","passed","Fri Mar 07 17:14:25 GMT 2025","Button page tests","button.spec.ts","",""
"","2292","Dropdowns page has correct title","chromium","Fri Mar 07 17:13:02 GMT 2025","passed","Fri Mar 07 17:13:04 GMT 2025","Dropdowns page tests","dropdowns.spec.ts","",""
"","3255","Checking if #notG radio button can be checked","chromium","Fri Mar 07 17:13:20 GMT 2025","passed","Fri Mar 07 17:13:24 GMT 2025","Radio page tests","radio.spec.ts","",""
"","1814","Get button color","firefox","Fri Mar 07 17:13:38 GMT 2025","passed","Fri Mar 07 17:13:40 GMT 2025","Button page tests","button.spec.ts","",""
"","5249","Frame test 2","firefox","Fri Mar 07 17:13:56 GMT 2025","passed","Fri Mar 07 17:14:02 GMT 2025","Frame page tests","frame.spec.ts","",""
"","3497","Confirm both radio buttons can be selected","webkit","Fri Mar 07 17:14:58 GMT 2025","passed","Fri Mar 07 17:15:01 GMT 2025","Radio page tests","radio.spec.ts","",""
"","2865","Confirm button is disabled","webkit","Fri Mar 07 17:14:28 GMT 2025","passed","Fri Mar 07 17:14:31 GMT 2025","Button page tests","button.spec.ts","",""
"","3462","Check git search functionality with invalid user","chromium","Fri Mar 07 17:13:10 GMT 2025","passed","Fri Mar 07 17:13:14 GMT 2025","Elements page tests","elements.spec.ts","",""
"","3075","Checking if #going radio button can be checked","firefox","Fri Mar 07 17:14:05 GMT 2025","passed","Fri Mar 07 17:14:08 GMT 2025","Radio page tests","radio.spec.ts","",""
"","3759","Checking if last radio button is disabled","firefox","Fri Mar 07 17:14:06 GMT 2025","passed","Fri Mar 07 17:14:10 GMT 2025","Radio page tests","radio.spec.ts","",""
